voluntary work	le bénévolat
Her name is Michelle, isn’t that right? (87)	elle s’appelle michelle, n’est-ce pas?
Put them on the table. (87)	pose-les sur la table.
She’s just skipped French class. (87)	elle vient de sécher son/le cours de français
She dried her face and brushed her hair. (87)	elle s’est séché le visage et s’est brossé les cheveux
She’s not fat – she’s just a little plump. (87)	elle n’est pas grosse – elle a juste un peu d’embonpoint!
je mange quelque chose dès que j’ai fini. (87)	I’ll eat something once I’ve finished.
He always takes Léa on his lap to read her a story.	il prend toujours léa sur ses genoux pour lui lire une histoire.
I took on a new salesperson so we wouldn’t be swamped with work. [embaucher [quelqu’un]; vendeur (m); pour que [+ subj.]; être submergé de]	j’ai embauché un nouveau vendeur de façon à ce que nous ne soyons pas submergés de travail.
When Zoë comes out of the pool, I dress her (again) quickly so that she doesn’t get cold. [sortir; piscine (f); prendre froid]	lorsque zoë sort de la piscine, je la rhabille rapidement pour qu’elle ne prenne pas froid.
And then, in the middle of a magnificent meal, he started belching ! How disgusting ! [au milieu de; repas (m); se mettre à]	"et là, au milieu d'un magnifique repas, il s’est mis à roter! quelle horreur!"
She spends her days tapping away at her computer keyboard. [passer (son temps à); clavier (m) d’ordinateur]	elle passe ses journées à tapoter sur son clavier d’ordinateur.
I do everything so that you’re happy but it seems that’s not enough.	je fais tout pour que tu sois heureux, mais on dirait que ça ne suffit pas.
They save so he can do his studies in London. [économiser; faire ses études]	"ils économisent de l’argent pour qu'il puisse faire ses études à londres."
She’s an only child.	elle est fille unique.
I’m counting on you to help next Tuesday morning.	"je compte sur toi / vous pour m'aider mardi matin prochain."
Wipe your feet before coming in. [pied (m); entrer]	"essuie-toi / essuyez-vous les pieds avant d'entrer."
Adam looked after his sisters for the afternoon”	Adam s’est occupé de ses soeurs tout l’après-midi.
Adam s’est occupé de ses soeurs tout l’après-midi.	Après être restée coincée deux heures dans
“We support the environmentalists completely	Nous soutenons entièrement les écolos.
to be on the side of’	être du côté de quelqu’un
His colleagues are unpleasant to him. He’s had enough!	Ses collègues sont désagréables avec lui, il en a ras la casquette.
You’re slogging, but it’s normal. It’s always difficult when you’re young!	Tu galères, mais c’est normal, c’est toujours difficile lorsqu’on est jeune!
They’ve had enough of your negative attitude. So, be positive!	Ils en ont plein les bottes de ton attitude négative! alors, sois positif!
Having arrived, they tidied the house and called their parents. [Suppose you’re talking about two girls.]	Après être arrivées, elles ont rangé la maison et appelé leurs parents.
I’ve had enough of the rain and the daily hum-drum!	J’en ai marre de la pluie et du train-train quotidie
My father promised himself that he’d hang up his boots at sixty.	Mon père s’est promis de raccrocher le tablier pour ses soixante ans!
None of the former heads of State improved the standard of living of the French.	Aucun des chefs d’etat précédents n’a amelioré les conditions de vie des Français.
This exam is difficult so let’s cross our fingers	Cet examen est très difficile, alors, croisons les doigts!
As far as I remember, it’s near Paris.	Autant que je sache, c’est près de paris.
I’m stuck in traffic – I’ll be there at ten.	Je suis coincé dans les embouteillages. je serai là à dix heures.
“Do you know someone who knows about air conditioning ?”	Est-ce que tu connais quelqu’un qui s’y connaît en climatisation ?
“we get by with our small budget	Nous nous débrouillons plutôt bien avec notre petit budget !
“They gave me a hand to lift the fridge”	Ils m’ont donné un coup de main pour soulever le frigo.
“She gave me a hand to set the table.”	Elle m’a donné un coup de main pour mettre le couvert.
He’s looking for someone motivated to replace his secretary.”	Il cherche quelqu’un de motivé pour remplacer sa secrétaire.
“How do you mean ‘not very professional’ ?”	Comment ça? pas assez professionel
How do you mean I’m too old for the job ?!”	Comment ça, je suis trop vieille pour ce poste ?!
“They put a network in place that covers the entire building”.	Ils ont mis en place un réseau qui a couvert le bâtiment tout entier.
“Between now and the end of next week …”	D’ici la fin de la semaine prochaine …
“This isolated island is rejoicing at finally having drinkable water.”	Cet île isolée se réjouit d’avoir enfin de l’eau potable.
“You should darken the colours a little	Tu devrais assombrir un peu les couleurs
I updated my software and it’s working a treat! [mettre à jour; logiciel (m)]	"j'ai mis à jour mon logiciel et [maintenant] ça marche du tonnerre!"
"j'espère y aller ce week-end."	I hope to go there at the weekend. [espérer; week-end (m) / fin (f) de semaine]
Jacques took out an annual subscription.	"jacques a pris un abonnement à l'année."
Thanks to them, I will have no problem.	"grâce à eux, je n'aurai aucun problème."
I want to avoid rush hour. [éviter]	"j'aimerais/je veux éviter les heures de pointe"
It’s been a year since the French and the Dutch said ‘No!’ [Français (m); Néerlandais (m); dire]	"ça fait un an que les français et les néerlandais/hollandais ont dit 'non!'"
"d'ici la fin de cette/la semaine, je vais finir/terminer ça. […, je vais le/la finir/terminer]."	Between now and the end of the week, I will finish it. [finir / terminer]
Jacques and Hélène are delighted with what they’ve done.	"jacques et hélène se réjouissent de ce qu'ils ont fait."
About 20 people were injured. [personne (f); blesser]	environ vingt personnes ont été blessée
“Did you see what Robert did ?”	Tu as vu ce qu’a fait Robert ?
‘Regarding my salary, have you thought about the increase I asked for ?’	A propos de mon salaire, avez-vous réfléchi à l’augmentation que je vous ai demandée ?
‘we’re expecting to have this new rule applied from tomorrow’ :	Nous comptons faire appliquer ce nouveau règlement dès demain.
‘They’re expecting to have these measures applied in all French schools’	Ils comptent faire appliquer ces mesures dans toutes les écoles de France.
‘I missed my favourite series’ :	J’ai loupé ma série préférée.
I failed my licence again, that’s starting to annoy me !’	J’ai encore loupé mon permis, ça commence à m’agacer !
‘This high school wants to favour students from disadvantaged backgrounds.’	Ce lycée veut favoriser les élèves issus de milieux défavorisés.
‘Everybody must unite to fight against AIDS’.	Il faut que tout le monde s’unisse pour lutter contre le sida.
‘His old Fiat runs on petrol’	Sa vieille Fiat roule au super.
Did you see what Jacques won? [gagner]	tu as vu ce qu’a gagné jacques?
The beekeepers think that GMOs are harmful to the health of their bees. [apiculteur (m), OGM (m), nuire à, abeille (f)]	les apiculteurs pensent / croient que les omg nuisent à la santé de leurs abeilles.
They must unite.	il faut qu’ils s’unissent.
il faut qu’ils s’unissent.	les prix des maisons baissent.
She’s starting to annoy me !	elle commence à m’agacer!
She suggested going to the cinema (to us).	elle nous a proposé d’aller au cinéma.
I’m starting my revisions from next week.	je commence mes révisions dès la semaine prochaine.
He missed an important appointment. [rater / louper, rendevous (m)]	il a loupé / raté un rendez-vous important.
The neighbours are making too much noise – they’re starting to annoy me ! [voisin (m), faire du bruit]	les voisins font trop de bruit – ils commencent à m’agacer!
In general, we drive too fast. [En général, rouler]	en général, nous roulons / on roule trop vite.
the money collected allowed the construction of new accommodation”	L’argent collecté a permis de construire de nouveaux logements …
It must be said that, without his help, we wouldn’t have managed’	Il faut dire que, sans son aide nous n’y serions pas parvenus.
‘They brush their teeth twice a day’	Ils se brossent les dents deux fois par jour.
‘I brush her teeth’,	Je lui brosse les dents.
The postmen sort the mail each morning’	Les facteurs trient le courrier chaque matin.
‘She sorted the washing before putting it in the washing machine’	Elle a trié le linge avant de le mettre dans la machine à laver.
They go to work on foot.	ils vont au travail à pied
I’d like to improve my knowledge of German. [améliorer ; connaissance (f); l’allemand]	j’aimerais / je voudrais améliorer ma connaissance de l’allemand.
He goes there to meet people. [rencontrer]	il y va pour rencontrer des gens.
His girlfriend has lost weight.	sa petite amie a perdu du poids
That has allowed the creation of 4 000 new jobs. [créer ; emploi (m)]	ça a permis de créer 4 000 emplois. / ça a permis la création de 4 000 emplois.
It must be said that there are very few films made there. [très peu de ; créer / tourner un film]	il faut dire qu’il y a très peu de films (qui sont) tournés là-bas.
He wouldn’t have managed without Philippe.	il n’y serait pas parvenu sans philippe
He never brushes his teeth. [ne … jamais]	il ne se brosse jamais les dents.
She sorted the files in alphabetical order. [fichier (m)]	elle a trié les fiches par ordre alphabétique
Jérôme put his foot in it !	jérôme a mis les pieds dans le plat.
That reminds me of something I heard yesterday.	cela me rappelle quelque chose que j’ai entendue hier.
She likes strolling around town.	elle aime flâner en ville.
You can’t walk in a town in the south of France without happening upon a game of ‘boules’.	# vous ne pouvez pas vous promener en ville dans le sud de la france sans tomber sur une partie de pétanque. [or, ‘… dans une ville du sud de …]
The children are cold.	les enfants ont froid.
They’re wrong!	ils ont tort!
What do you have in your hand?	qu’est-ce que tu as à la main?
Jack lived in Japan for several years.	jack a vécu de nombreuses années au japon.
The sweets I ate were delicious! [bonbon (m); délicieux]	les bonbons que j’ai mangés étaient délicieux!
Did you see the letters we received this morning? [lettre (f); recevoir]	as-tu vu les lettres que nous avons reçues ce matin? [or, ‘t’as vu les lettres qu’on a reçues…]
We received letters this morning.	nous avons reçu des lettres ce matin. [or, ‘on a reçu…’]
This article reminds me of something I saw on TV’	Cet article me rappelle quelque chose que j’ai vue à la télé.
I’m in Paris for a few days. I’m taking advantage of that to visit the Louvre.”	Je passe quelques jours à Paris. J’en profite pour visiter le Louvre
If you need him, call him.	si tu as besoin de lui, appelle-le / téléphone lui.
Go into the office. I’ll follow you in a few moments.	entrez dans le bureau. je vous suis dans quelques instants.
He left her in town.	"il l'a laissée en ville."
He said what?!	"il a dit quoi?! / qu'est-ce qu'il a dit?!"
Thanks for having arrived so early.	"merci d'être venus si tôt."
They must be replaced.	il faut les remplacer. / ils doivent être remplacés.
He’s going to show them the documents.	il va leur montrer les documents.
They’re going to show us the documents.	ils vont nous montrer les documents.
He cut you off – that’s very rude !	"il t'a coupé la parole - c'est très impoli!"
That should be ready on Tuesday.	ça devrait être prêt mardi.
I take …”, or, “I follow French classes online”	Je suis des cours de français en ligne.
Your tyres are worn”.	Tes pneus sont usés.
“the shortage of manpower poses a big problem for us”	Le manque de main d’oeuvre nous pose un grand problème.
“One finds a large proportion of immigrants among the workforce in these factories”	On trouve une forte proportion d’immigrants parmi la main-d’oeuvre de ces usines.
Is that the electrician?	vous êtes bien électricien?
I am concerned for her.	je me fait du souci pour elle.
She always runs away from her responsabilities. [fuir]	elle fuit toujours ses responsabilités.
Let the juice run out, then place the roast on a dish. [jus (m), s’écouler, rôti (m), plat (m)]	"laissez le jus s'écouler, puis placez le rôti sur un plat."
The street is blocked because of the demonstration.	le rue est bouchée à cause de la manifestation.
I have a blocked nose. You wouldn’t have (any) eucalyptus?	"j'ai le nez bouché. auriez-vous de l'eucalyptus [par hasard]?"
I don’t think that country is dangerous: you can go there without fear.	je ne pense pas que ce pays soit dangereux. vous pouvez y aller sans crainte.
Can you take a look in your bag? I put my mobile phone in it. [sac (m), portable (m)]	"peux-tu jeter un coup d'oeil dans ton sac. j'y ai mis mon portable."
They’re going to give me an estimate.	ils vont me donner un devis.
Regarding this project, have you seen the contract?	en ce qui concerne ce projet, as-tu vu le contrat?
‘Does the water run out a little ?	Est-ce que l’eau s’écoule un peu ?
Could you give me an estimate before starting work ?	Pourriez-vous me donner un devis avant de commencer les travaux ?
‘It’s no longer available’	Ce n’est plus disponible.
I see a plane flying over our house.	je vois un avion voler au-dessus de chez nous / notre maison.
She answers requests for information from Monday morning to Wednesday afternoon. [demandes (f pl) de renseignements]	elle répond à toute demande / à toutes les demandes de renseignements du lundi matin au mercredi après-midi.
I don’t agree with him at all.	"je ne suis pas du tout d'accord avec lui."
Hey… did you hear the news?	"tiens… t'as entendu les nouvelles?"
He blew in the trumpet and created a beautiful sound. [trompette (f); créer]	il a soufflé dans la trompette et crée un beau son / un son mélodieux.
Do you live in this area?	tu habites dans ce coin?
There’s nothing better than a good novel. [roman (m)]	"il n'y a rien de mieux qu'un bon roman"
I really want to go away, far from the noises of the city.	"j'ai très envie de m'en aller, loin des bruits de la ville."
I’m really looking forward to seeing that film.	"j'ai vraiment hâte de voir ce film."
What he is doing is driving me mad!	"ce qu'il fait me rend fou!"
There’s nothing better than a delicious meal	Il n’y a rien de mieux qu’un délicieux repas !
I’m really looking forward to relaxing this weekend.	J’ai vraiment hâte de me détendre ce week-end.
‘I did nothing last night – I just relaxed on the sofa !’	Je n’ai rien fait hier soir. Je me suis juste détendu sur le canapé !
‘Someone’s ringing the doorbell’	Quelqu’un sonne à la porte.
What he did drove me mad !’	Ce qu’il a fait m’a rendu fou.
‘Let’s not think about it any more’.	N’y pensons plus !
He must pay to have his registration plate re-made.	"il doit payer pour faire refaire sa plaque d'immatriculation."
My uncle is a lousy driver!	mon oncle conduit comme un pied!
Is she aware of the situation in New York?	est-elle au courant de la situation à new york?
The new system comes into force from next month.	le nouveau système entre en vigueur dès le mois prochain.
It’s better to have a car to arrive at the hostel. [auberge (f)]	"c'est mieux d'avoir une voiture pour arriver à l'auberge."
The documents should be sent to Paris well in advance.	"les documents devraient être envoyés longtemps à l'avance."
Jacques made it clear that he wanted to meet Mr Gagnon.	"jacques a précisé qu'il souhaitait rencontrer m. gagnon."
The society in which they live is very different from our own. [la nôtre]	la société dans laquelle ils vivent est très différente de la nôtre
We can go there without having to inform them.	nous pouvons nous y rendre sans avoir à les informer.
They will have achieved their goal.	ils auront atteint leur objectif.
This tax comes into force from today	Cette taxe entre en vigueur dès aujourd’hui
It’s better to be a winner than a loser	C’est mieux d’être un gagnant qu’un perdant.
Must I reserve a ticket a long time in advance ?”	Dois-je réserver un billet longtemps à l’avance ?
to prepare well ahead of time, that’s the key to success	Préparer longtemps à l’avance, c’est la clé de la réussite !
He made it clear that the trip will cost 300 euros”.	Il a précisé que le voyage coûtera 300 euros.
The journalist doesn’t make it clear	le journaliste ne précise pas
“They will have less free time next week”	Ils auront moins de temps libre la semaine prochaine.
“They will have difficulty in achieving their goal”	Ils auront du mal à atteindre leur objectif.
‘I had a few things to correct’.	J’avais quelques trucs à corriger.
Il est dingue d’une fille qui s’appelle Julie.	‘He’s crazy about a girl called Julie!”
“Remember your promise!”	Souviens-toi de ta promesse!
we were going to suggest a compromise	On allait proposer un compromis.
I’m starving!	J’ai la fringale.
What did he say again?	"qu'est-ce qu'il a dit déjà?"
I see yours, but where are mine? [Suppose you’re referring to keys.]	je vois les tiennes mais où sont les miennes?
The team left at eight.	"l'équipe est partie à huit heures"
I’d really love a cold glass of milk.	"j'aimerais bien un verre de lait froid."
It’s going to be cool this weekend.	il va faire frais ce week-end.
That makes me want to laugh.	ça me donne envie de rire.
We had a few things to revise.	ll était où?
What does she think of it?	"qu'en pense-t-elle?"
I was going to suggest the following possibility.	"j'allais proposer la possibilité suivante"
It’s unfortunate that he is gone	C’est dommage qu’il soit parti.
It’s great that you were able to come	C’est génial que tu aies pu venir !
“That girl, she’s so beautiful that no boy dares approach her !”	Cette fille, elle est si belle qu’aucun garçon n’ose l’approcher.
Over the course of the next few months, we’ll see what happens.	Au cours des prochains mois, on verra ce qui va se passer.
The concert takes place every year in Lyon.	Le concert se déroule tous les ans à Lyon.
“She’s going to buy them that as a gift”.	Elle va leur acheter cela en cadeau.
I’m convinced you’ll love it”	Je suis persuadée que tu vas l’adorer
They’re part of a football team”.	Ils font partie d’une équipe de foot.
It’s a pity she couldn’t come.	"c'est dommage qu'elle n'ait pas pu venir."
What fine houses !	quelles belles maisons!
The concert will take place in London this weekend.	le concert va se dérouler à londres ce week-end.
The page to which he is referring no longer exists.	"la page à laquelle il se réfère n'existe plus"
You mean George Bush?… I didn’t know that.	tu veux dire george bush?… je le savais pas.
That word there… what does that mean?	"ce mot-là… qu'est-ce que ça veut dire?"
That kind of food isn’t really my thing. [nourriture (f)]	"ce genre de nourriture n'est pas vraiment mon truc."
No girl dares approach him !	"aucune fille n'ose l'approcher."
She’s going to buy us that as a gift.	elle va nous acheter ça en cadeau.
Does it bother you if I light up a cigarette ?”	Ça te dérange si j’allume une cigarette ?
She wasn’t expecting such a surprise”	Elle ne s’attendait pas à une telle surprise.
We should all help the homeless”	Nous devrions tous aider les sans-abri.
“What she told us proves to be true”.	Ce qu’elle nous a raconté s’avère être vrai
This project is proving to be more difficult to complete	Ce projet s’avère être plus difficile à réaliser
What has become of your cousin, Sophie ?”	Qu’est-il advenu de ta cousine Sophie ? advenir
We don’t know yet what will come of it”,	On ne sait pas ce qu’il en adviendra.
If they wish to destroy their lungs	S’ils veulent se détruire les poumons
I asked him a question.	je lui ai posé une question.
She turned on the TV.	elle a allumé la télé
He left her all alone.	"il l'a laissée toute seule."
A few months ago I received a call from Mr Lemond.	"il y a quelques mois, j'ai reçu un appel de m. lemond."
It seems it was he who said that.	"on dirait que c'est lui qui a dit ça."
There’s where I don’t agree with you…	"c'est là que je ne suis pas d'accord avec toi/vous."
She had to undergo a difficult operation.	elle a dû subir une opération difficile.
They borrowed a book from me.	"ils m'ont emprunté un livre."
We should all reflect on this point.	nous devrions tous y réfléchir.
We weren’t expecting that he would call to see us.	"nous ne nous attendions pas à ce qu'il passe/vienne nous voir."
‘I’m bothered by the noise from the neighbours’.	Je suis incommodé par le bruit des voisins.
How is it that an external temperature of 37°C bother us when it’s the temperature of our body’ ?	Comment se fait-il qu’un température extérieure de 37° nous incommode alors qu’il s’agit de la température de notre corps ?
This pipe is blocked’	Ce tuyau est bouché.
That street is blocked because of the works	Cette rue est bouchée à cause des travaux.
Why doesn’t he say it to her ?’	Pourquoi ne lui dit-il pas ?
‘That’s what friends are for	C’est à ça que servent les amis.
This machine is used for polishing all kinds of metal’	Cette machine sert à polir tous types de métaux.
‘Are you sure you don’t want to allude to it?	Es-tu sûr de ne pas vouloir y faire allusion?
Are you sure that you don’t want to work for that company ?”	Es-tu sûr de ne pas vouloir travailler dans cette compagnie ?
I couldn’t tolerate the stress of this work !”	Je ne pourrais pas supporter le stress de ce travail.
I think that, judging by the way he speaks il a reçu une bonne éducation.	Je pense qu’à en juger par la façon dont il parle il a reçu une bonne éducation.
He’s going to resign. It’s obvious. [démissionner]	il va démissionner. c’est évident.
He doesn’t tolerate that type of behaviour. [type; comportement [m]]	il ne supporte pas ce type de comportement.
Auxerre recorded their first victory of the season and, at the same time, got out of the red zone. [enregistrer une victoire; saison [f]; sortir d’une zone]	auxerre a enregistré sa première victoire de la saison et, par la même occasion, est sortie de la zone rouge.
Why doesn’t he tell them?	pourquoi ne leur dit-il pas?
Why not ask Thierry?	pourquoi ne pas demander ça à thierry?
It’s very warm today.	il fait très chaud aujourd’hui.
What’s that strange smell coming from the kitchen?	c’est quoi cette drôle d’odeur qui vient de la cuisine? / quelle est cette
Why is that road blocked? [route [f]]	pourquoi cette route est-elle bouché?
How is it that he isn’t here today?	comment se fait-il qu’il ne soit pas là aujourd’hui?
The teacher told him not to forget his books.	le professeur lui a dit de ne pas oublier ses livres
‘Every year we pay 100 euros to this association’.	Tous les ans nous versons cent euros à cette association.
We buy nothing expensive’	On n’achète rien de cher.
we buy a lot of material in the summer because there’s nobody around	On achète beaucoup de fournitures pendant l’été, parce qu’il n’y a personne
The boy who is singing is excellent. [garçon (m); excellent]	le garçon qui chante / qui est en train de chanter est excellent.
She has two girls – Caroline and Tanya – who are 12 and 13 years, respectively.	elle a deux filles, caroline et tanya, qui ont respectivement 12 et 13 ans
They pay them €500 every week.	ils leur versent 500 euros chaque semaine / toutes les semaines
She is going into the second year of pre-school.	elle entre / va entrer chez les moyens / en deuxième année de maternelle.
We mustn’t forget their sports gear.	"il ne faut pas oublier / qu'on oublie leur tenue de sport."
He bought [himself ] a new car. [s’acheter; voiture (f)]	"il s'est acheté une nouvelle voiture / une voiture neuve."
Tell them about your holidays!	parle-leur de tes vacances! / parlez-leur de vos vacances!
They receive an allowance every month which is €247.32.	ils reçoivent chaque mois une allocation de 247,32 euros.
Those computers?… They’re money down the drain.	"ces ordinateurs?… c'est de l'argent jeté par les fenêtres."
What does he do on Saturday afternoons?	"que fait-il / qu'est-ce qu'il fait le samedi après-midi."
‘It must be said that, without his help, we wouldn’t have managed’	Il faut dire que, sans son aide nous n’y serions pas parvenus.
Is it at this time you’re playing music ? It’s too late! Think of the neighbours!”	C’est à cette heure-là que tu joues de la musique ? C’est trop tard ! Pense aux voisins !
I had to console her on the telephone.	J’ai encore dû la consoler au téléphone.
“I had to pay the bill! The next time, I’ll have them invite me.”	J’ai dû payer la note ! La prochaine fois, je me fais inviter.
“I had to iron his shirts again … it’s the last time!”	J’ai encore dû lui repasser ses chemises ! C’est la dernière fois !
Do you think it’s normal to come home every evening at 9 o’clock?”	Tu trouves que c’est normal de rentrer tous les soirs à 21.00?
Do you think it’s normal to spend one’s life working?’	Tu trouves que c’est normal de passer sa vie à bosser ?
Do you think it gives me pleasure to not have time to look after my children?’	Tu crois que ça me fait plaisir de ne pas avoir le temps de m’occuper de mes enfants.
Do you think it gives me pleasure to see you destroy your health?	Tu crois que ça me fait plaisir de te voir te détruire la santé ?
That’s easier said, than done.’	Ça, c’est plus facile à dire qu’à faire !
To climb to the top of Mont- Blanc is easier said than done!”	Grimper au sommet du Mont-Blanc, c’est plus facile à dire qu’à faire.
To become CEO of a multinational company is easier said than done!”	Devenir PDG d’une multinationale, c’est plus facile à dire qu’à faire.
It’s difficult to understand how he can …	c’est difficile de comprendre comment il peut …
He comes home at ten.	il rentre à dix heures (du soir).
I had to see Jacques.	j’ai dû voir jacques.
She looks after them.	elle s’occupe d’eux
We look after him.	nous nous occupons de lui. / on s’occupe de lui.
He looks after us.	il s’occupe de nous.
Do you think it’s normal to talk like that?!	tu trouves que c’est normal de parler comme ça?!
Do you think it gives me pleasure to see you do that?	tu trouves que ça me fait plaisir de te voir faire ça?
You only have to make your decision.	tu n’as qu’à prendre une décision.
To find a solution is easier said than done.	trouver une solution, c’est plus facile à dire qu’à faire.
I’d like to know if it would be possible for me to hire a bicycle	j’aimerais savoir s’il est possible que je loue un vélo.
I’d like to know if it’s possible to obtain such a product via the Internet?	J’aimerais savoir s’il est possible de se procurer un tel produit par Internet?
There are also high-quality Bordeaux wines which everybody can treat themselves to”	Il existe aussi des vins de Bordeaux de grande qualité que tout le monde peut s’offrir.
A return ticket Paris-Toulouse… That will be €40.37	Un aller-retour Paris-Toulouse… Ça fera quarante euros et trente-sept centimes.
I would need six apples and three pears.	il me faudrait six pommes et trois poires.
They’re here until the end of the week.	ils sont là jusqu’à la fin de (la) semaine / … jusqu’au week-end.
All the men that I know love cars!	tous les hommes que je connais aiment les voitures!
Lots of people get around by bike in Peking.	a pékin, beaucoup de gens circulent à vélo.
Where are we going tomorrow?	on va où demain? / où allons-nous demain?
There are four big parks in that town.	il y a quatre grands parcs dans cette ville.
“The car is parked in Zone E, space 97. That’s out the main door, to the right and down at the end of the terminal building.”	Elle est garée en Zone E, place 97. Sortez par l’entrée principale, tournez à droite et allez jusqu’au bout du terminal.
She went around the apartment to see that everything was in order	Elle a fait le tour de l’appartement pour vérifier que tout était en ordre.
“We looked around the property”.	On a fait le tour du propriétaire.
I’ll show you ’round the property	Je vais te faire faire le tour du propriétaire.
I must tell you also that the boot – or trunk – doesn’t stay open”.	Il faut que je vous dise aussi, le coffre a du mal à rester ouvert.
They did a tour of the world ! [Suppose you’re talking about Tanya and Yvonne.]	elles ont fait le tour du monde!
There is one point which is not noted on the contract. [un point]	il y a un point qui n’est pas noté dans le contrat.
I like scarlet red as a colour.	"comme couleur, j'aime le rouge vif."
The car is parked in place fifty.	la voiture est garée à la place cinquante.
I have difficulty (in) understanding him.	j’ai du mal à le comprendre
He has difficulty in understanding me.	il a du mal à me comprendre.
Do you take me for an idiot ?!	tu me prends pour un idiot / une idiote?!
Everything should be in order.	tout devrait être en ordre.
She makes me eat so much fruit	elle me fait manger tant de fruits!
Don’t forget to call Luc	n’oublie pas d’appeler luc!
She has more experience than others	Elle a plus d’expérience que les autres.
She is more charming that the others	Elle a plus de charme que les autres.
How long does she wish to stay in Brittany ?	Combien de temps souhaite-t-elle rester en Bretagne ?
How long do they wish to spend here ?”	Combien de temps souhaitent-ils passer ici ?
She paid a €900 deposit for the appartment”.	Elle a versé une caution de 900 euros pour l’appartement.
“How much do expenses come to this month ?”	À combien s’élève le montant des dépenses ce mois-ci ?
he gave in his project late.	Il a rendu son projet en retard.
"elle aura besoin d'une voiture la semaine prochaine."	She will need a car next week.
They wish to rent it for how long?	pour combien de temps souhaitent-ils / veulent-ils le / la louer?
His aunt is all alone in London.	sa tante est toute seule à londres
It’s less economical than a diesel.	"c'est moins économique qu'une diesel."
They’re going to fill in the contract.	ils vont remplir le contrat.
He took out the maximum insurance. [prendre]	il a pris l’assurance maximum.
How much do the transmission rights come to?	a combien s’élèvent les droits de transmission?
Must I call them before I give it back?	dois-je les appeler avant de le / la rendre?
Give him back the ball !	rendez-lui le ballon!
“It’s the second time I’ve taken the plane. I’m still a little afraid.”	C’est la deuxième fois que je prends l’avion. J’ai encore un peu peur.
It’s the third time I’ve eaten Japanese food. I love it !”	C’est la troisième fois que je mange de la nourriture japonaise, j’adore ça !
“We came here when our father was working abroad.”	Nous sommes venus ici lorsque notre père travaillait à l’étranger.
